Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,07/15/2024,"REMOTE ONLINE DEPOSIT #          1",3869.91,CHECK_DEPOSIT,17070.14,1,
DEBIT,07/08/2024,"AMERICAN EXPRESS ACH PMT    A9106           WEB ID: 9493560001",-519.37,ACH_DEBIT,13200.23,,
DEBIT,07/02/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-551.96,ACH_DEBIT,13719.60,,
DEBIT,07/01/2024,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-11.99,ACH_DEBIT,14271.56,,
CREDIT,06/28/2024,"OREGON STATE UNI PAYMENTS                   PPD ID: 1111101000",478.98,ACH_CREDIT,14283.55,,
DEBIT,06/12/2024,"TARGET CARD SRVC BILL PAY   000000007211521 WEB ID: 5411721813",-144.03,ACH_DEBIT,13804.57,,
DEBIT,06/06/2024,"AMERICAN EXPRESS ACH PMT    A9568           WEB ID: 9493560001",-734.18,ACH_DEBIT,13948.60,,
DEBIT,06/03/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-311.68,ACH_DEBIT,14682.78,,
DEBIT,06/03/2024,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-1.49,ACH_DEBIT,14994.46,,
CREDIT,05/31/2024,"OREGON STATE UNI PAYMENTS                   PPD ID: 1111101000",1082.43,ACH_CREDIT,14995.95,,
DEBIT,05/17/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-19.49,ACH_DEBIT,13913.52,,
DEBIT,05/02/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-547.69,ACH_DEBIT,13933.01,,
CREDIT,04/30/2024,"OREGON STATE UNI PAYMENTS                   PPD ID: 1111101000",792.65,ACH_CREDIT,14480.70,,
DEBIT,04/02/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-83.09,ACH_DEBIT,13688.05,,
DEBIT,04/01/2024,"APPLECARD GSBANK PAYMENT    62177446        WEB ID: 9999999999",-1.49,ACH_DEBIT,13771.14,,
DEBIT,04/01/2024,"Payment to Chase card ending in 3501 04/01",-289.21,LOAN_PMT,13772.63,,
CREDIT,03/29/2024,"OREGON STATE UNI PAYMENTS                   PPD ID: 1111101000",911.15,ACH_CREDIT,14061.84,,
CREDIT,03/20/2024,"Zelle payment from YIFAN ZHANG 20208230580",2500.00,QUICKPAY_CREDIT,13150.69,,
DEBIT,03/18/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-99.52,ACH_DEBIT,10650.69,,
CREDIT,03/15/2024,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",578.13,ACH_CREDIT,10750.21,,
DEBIT,03/14/2024,"POULTON ASSOCIAT PAYMENT    000000126920248 WEB ID: 1870474199",-639.45,ACH_DEBIT,10172.08,,
DEBIT,03/08/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-384.95,ACH_DEBIT,10811.53,,
DEBIT,03/06/2024,"Zelle payment to Ready Preschool 20077587934",-200.00,QUICKPAY_DEBIT,11196.48,,
DEBIT,03/04/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-71.50,ACH_DEBIT,11396.48,,
CREDIT,02/29/2024,"OREGON STATE UNI PAYMENTS                   PPD ID: 1111101000",1344.86,ACH_CREDIT,11467.98,,
DEBIT,02/20/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-88.71,ACH_DEBIT,10123.12,,
DEBIT,02/08/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2429.44,ACH_DEBIT,10211.83,,
DEBIT,02/02/2024,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-212.92,ACH_DEBIT,12641.27,,
DEBIT,02/02/2024,"DISCOVER         E-PAYMENT  3532            WEB ID: 3510020270",-28.90,ACH_DEBIT,12854.19,,
CREDIT,01/31/2024,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",350.00,ACH_CREDIT,12883.09,,
CREDIT,01/31/2024,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",412.50,ACH_CREDIT,12533.09,,
CREDIT,01/25/2024,"APA  TREAS 310     MISC PAY                 PPD ID: 9101036151",10000.00,ACH_CREDIT,12120.59,,
